date,Canada,Germany,Japan,Mexico,Rep. of Korea,Total,Japan_share,Mexico_share,Rep. of Korea_share,Germany_share,Canada_share
2023-05-01,101720.0,34229.0,107011.0,165218.0,106482.0,514660.0,0.20792562079819688,0.32102358838845063,0.20689775774297595,0.06650798585473905,0.1976450472156375
2023-06-01,123312.0,32825.0,125922.0,161854.0,122155.0,566068.0,0.2224503063236219,0.2859267791148767,0.21579562879371383,0.05798773292254641,0.2178395528452412
2023-07-01,94775.0,32948.0,135620.0,176587.0,95713.0,535643.0,0.25319102461900933,0.32967293514523666,0.17868804408906677,0.061511118412823466,0.1769368777338638
2023-08-01,110759.0,34986.0,121530.0,165509.0,115302.0,548086.0,0.22173527512105765,0.301976332181446,0.21037209489021796,0.06383304809829114,0.20208324970898728
2023-09-01,111031.0,22105.0,126378.0,184635.0,115425.0,559574.0,0.2258468048908634,0.32995635965931225,0.20627298623595808,0.03950326498371976,0.1984205842301465
2023-10-01,115879.0,32625.0,148867.0,188248.0,103584.0,589203.0,0.2526582519097832,0.319495997135113,0.17580358552145864,0.05537140849588342,0.19667075693776168
2023-11-01,113125.0,28499.0,145411.0,175324.0,101936.0,564295.0,0.25768613934201084,0.310695646780496,0.18064310334133743,0.050503725888055004,0.20047138464810071
2023-12-01,100710.0,45343.0,125690.0,185600.0,119543.0,576886.0,0.21787666887391963,0.3217273430105775,0.2072211840814303,0.07859958466664124,0.17457521936743134
2024-01-01,89014.0,26036.0,133303.0,154279.0,134954.0,537586.0,0.2479659068502528,0.28698478010960105,0.2510370433753855,0.04843132075612088,0.16558094890863972
2024-02-01,94746.0,29064.0,116719.0,176011.0,121384.0,537924.0,0.21698046564198661,0.32720421472178224,0.22565269443267078,0.05402993731456488,0.17613268788899547
2024-03-01,88001.0,28380.0,106416.0,197584.0,131916.0,552297.0,0.19267893904909858,0.3577495441764123,0.23884974931965952,0.05138539590111842,0.15933637155371114
2024-04-01,78061.0,48466.0,120299.0,172286.0,147101.0,566213.0,0.2124624478773889,0.30427771880899945,0.25979799121532005,0.08559676305559921,0.1378650790426924
2024-05-01,92907.0,39484.0,106632.0,173423.0,148250.0,560696.0,0.19017792172585501,0.30929951346184026,0.2644035270449584,0.07041962132777833,0.16569941643956795
2024-06-01,79662.0,44400.0,101528.0,171082.0,148478.0,545150.0,0.186238649912868,0.3138255526002018,0.2723617353022104,0.08144547372282858,0.14612858846189122
2024-07-01,64367.0,38058.0,133037.0,164447.0,135319.0,535228.0,0.2485613607658792,0.30724663134215696,0.25282496431427354,0.07110614541840113,0.12026089815928913
2024-08-01,72024.0,35736.0,112736.0,159600.0,123029.0,503125.0,0.22407155279503105,0.31721739130434784,0.2445296894409938,0.07102807453416149,0.14315329192546583
2024-09-01,81837.0,33789.0,95289.0,200477.0,126187.0,537579.0,0.1772558079835708,0.3729256537178722,0.23473201148110323,0.06285401773506778,0.15223250908238603
2024-10-01,87849.0,36899.0,121276.0,192966.0,111851.0,550841.0,0.22016516562855706,0.3503116144223106,0.20305496504435944,0.06698666221287086,0.159481592691902
2024-11-01,82974.0,47176.0,112104.0,181403.0,117625.0,541282.0,0.20710830953181522,0.3351358441625622,0.21730816838542572,0.08715604804889134,0.15329162987130554
2024-12-01,72165.0,45407.0,128991.0,182230.0,108224.0,537017.0,0.2401990998422769,0.33933748838491146,0.20152807080595214,0.0845541202606249,0.13438122070623462
2025-01-01,81043.0,27074.0,119239.0,154250.0,134409.0,516015.0,0.23107661598984525,0.2989254188347238,0.26047498619226184,0.05246746703099716,0.15705551195217193
2025-02-01,68591.0,32733.0,104841.0,151458.0,99132.0,456755.0,0.22953443312060076,0.33159571323795034,0.21703539096452146,0.07166424012873422,0.15017022254819323
2025-03-01,96618.0,43967.0,129217.0,188416.0,156622.0,614840.0,0.21016361980352613,0.30644720577711276,0.2547361915295036,0.07150966105002927,0.15714332183982824
2025-04-01,63620.0,33281.0,126127.0,111527.0,80577.0,415132.0,0.30382384398215506,0.26865430754555175,0.19409970804467014,0.08016968096894482,0.15325245945867821
2025-05-01,82483.0,40060.0,113148.0,170780.0,130379.0,536850.0,0.21076278290025147,0.3181149296824066,0.24285927167737728,0.0746204712675794,0.1536425444723852
2025-06-01,74058.0,28955.0,129535.0,185858.0,127360.0,545766.0,0.23734530916180194,0.3405452153487026,0.2333600847249554,0.053053872905237776,0.13569551785930234
2025-07-01,65037.0,37669.0,103835.0,212024.0,110012.0,528577.0,0.19644252398420664,0.4011222584410597,0.20812861702268542,0.07126492450484981,0.12304167604719843
